2018.12.19 12:18,323,1dnj****,211.36.***.225,0,2,조~깟~~노,
2018.12.04 20:10,1025,kich****,122.43.***.228,3,3,행동주의 펀드 관련주드마,['60프로정도 죌걸요~~~']
2018.12.04 10:18,846,onix****,58.123.***.95,2,6,"내가 44050원이 고점이 아니면 내 손에 장을 지질께 ㅋㅋ
많이 내려와야한다 ^^ㅋㅋ 기대해라.",['또등장이네']
2018.11.29 17:22,703,erro****,175.223.***.184,4,5,"절대 안오른다
결산일 때문에 오른거구
내년되바라
3만 초반 까지 떨어진다
1) 영업이익률 반토막
2) 매출감소
3) 자동차 업종 18년도 결산 나오면 무조건 떨어짐
4) 자동차 시장 불안전성",['너나 팔고 나가시요']
2018.11.29 17:03,680,khk3****,222.120.***.49,5,0,조만간 5는 찍겠어요,['3 찍겠구만']
2018.11.23 12:23,763,onix****,58.123.***.95,3,4,야 난 +1750원일때 입열었다 너도 빠질때 좀 나처럼 떠들어봐라 조금 오르니까 머가 달라져보이냐?? 가소로운넘 ㅉㅉㅉ,['보아하니 잠 못잤네... 잠이나 자라\n너의 악담에 계속 매수해서 수익권이다']
2018.11.23 09:50,924,khk3****,175.223.***.217,5,2,"최고가 112,500

반토막 55,000

70,000까지 가야죠.",['70000만원 못가면 어쩔래 손모가지 우리 걸까? 콜 ?? 약속지키자 ㅋㅋ']
2018.11.23 09:48,416,khk3****,175.223.***.217,5,2,"올라가니 숨었네..

니가 숨으니 올라가네...

다신 나타나지 마라!!",[]
2018.11.23 10:12,648,onix****,58.123.***.95,1,5,얼마나 올라갈거 같냐?? ㅉㅉㅉ 종가 봐봐라 ㅋㅋ,[]
2018.11.12 09:23,2397,cise****,124.49.***.181,8,6,"너무 저평가라
아주 즐거운 마음으로 매수하고 있습니다","['ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '확실히 바닥찍고 턴 이네요..']"
2018.11.09 09:14,1364,cise****,124.49.***.181,7,5,역사적 바닥을 찍고 상승으로 턴 하고 있슴,['이런글나오면 떡폭락하던데...휴']
2018.11.07 14:44,1462,onix****,58.123.***.95,5,5,이젠 진정성이 느껴 지시나?? ㅉㅉㅉ,"['msjh**** 사람이 말할땐 그 말에 핵심을 잃어야한다. 한국단자는 빠질때 잠시 몇백원 기술적 반등은 나올수 잇다 모든 주식이 그렇다 그것에 개미가 속는것이기 때문에 그럴수 밖에없다 , 그러나 반등이 와도 한국단자는 절대 손대면 안된다 한국단자보다 더 좋고 탄력잇게 올라갈 주식이 거짓말아니고 널려있다 물반 고기반이다. 잘 골라봐라.분명히 말하지만 한국단자는 쉽게 올라갈수 잇는 주식이 못된다...', '고수님\n한국단자 주식 어디까지 떨어질까요?\n매수 언제 하면 되겠습니까?']"
2018.11.07 14:04,785,khk3****,222.120.***.49,2,1,모두 dead으면 좋겄다,[]
2018.11.07 13:16,400,sung****,223.62.***.134,3,1,이 주식 조사하면 콩밥먹을 놈들 많겠네,[]
2018.11.02 17:02,1570,sysj****,223.62.***.254,6,2,"코스피가 불이붙은날이지만
코스피상승종목1269개중무려1249위를 차지했습니다
정말무게감있는종목입니다 절대오르는걸허락하지않아요",[]
2018.11.02 15:39,560,onix****,58.123.***.95,1,3,이젠 인정하고 패배를 승복해라,[]
2018.11.01 14:43,871,rhtm****,175.198.***.232,0,3,예전에는 최저시급보다 높게 줬는데 요즘은 최저시급이당가?,['onix**** 아니 한국단자에서 일할까 싶어서 한국단자 생산직 알바 시급 물어본거여 ㅋㅋㅋ']
2018.11.01 10:34,807,kudo****,58.123.***.95,1,2,"지금이 기회라고 갈아타라고 햇을때 너희들은 갈아탔어야햇다 ㅉㅉㅉ
이미 버스는 떠났고 타이밍은 놓쳤다 내주식 삼화콘덴서,삼성전기는 3일전부터 바닥치고 날라가고 남들 다 돈 벌때 너희는 시장이 올라도 상대적 빈곤감을 뼈져리게 느끼될 것이다 ㅋㅋㅋㄷㅋㄷㅉㅉㅉ
내말 듣고 갈아탄 님들은 축하드립니다. 못판인간들은 뼈저리게 후회할것이다.
하수들에 공통적인 점은 하락하면 못판다. 끝없이 늪에서 헤어나지 못할것이다 ㅋㅋ","['시꺼', '미친*']"
2018.10.29 23:55,748,j009****,112.163.***.176,0,2,"난 종이쪼가리 가꼬
똥따끼나하께.",[]
2018.10.28 09:44,791,khk3****,222.120.***.49,1,2,"코스피 2050, 강한 지지대 될 것""
기사입력 2018-10-28 09:10 기사원문

[아시아경제 고형광 기자] DB금융투자는 28일 최근 증시 급락과 관련해 ""코스피 2050포인트가 강한 지지대가 될 것""이라는 의견을 내놨다.

강현기 DB금융투자 연구원은 ""PBR에 의탁하는 주가 저점의 논의가 의미를 상실한 지금 시점에서 주목해야 할 것은 주식시장 자체의 속성이고 통상 직전 저항대는 지지대로 바뀐다""며 ""한국 주식시장은 2013년부터 2015년까지의 디플레이션 기간에 코스피 기준 2050포인트의 저항대를 형성했고 이 수준 이상을 뚫고 올라간 것은 최근 2년간의 일이다, 바꿔 말하면 지금은 코스피 2050포인트가 강한 지지대가 될 수 있는 것""이라고 강조했다.

강 연구원은 연말까지 주식시장의 흐름에 대해선 ""주식시장의 일반적인 모습에 기대어 보면 그 대강을 유추할 수 있는데 만약 그 당시의 펀더멘탈이 탄탄하면 주가는 V자 반등을 하고, 펀더멘탈에 의구심이 많으면 W자 혹은 다중 바닥을 만드는 시기를 거친다""며 ""현재 주식시장을 떠받치는 기저를 고려할 때 주가의 다중 바닥 형성 가능성에 무게를 두고, 연말까지 코스피는 2050포인트 부근에서 급등락을 거듭하며 바닥을 다질 가능성이 크다""고 판단했다.

아울러 재반등의 여지는 시간을 두고 나타날 것으로 예상했다. 강 연구원은 ""내년 상반기가 되면 두 가지 동력이 작용할 것인데 그 중 하나는 미국 달러 약세로 미국과 미국 외 지역의 경기 차에 의해 달러는 조금 더 약해질 수 있으며, 이를 바탕으로 글로벌 주식시장에 우호적인 수급 환경이 조성될 것""이라고 말했다. 그는 이어 ""또 다른 하나는 중국의 경기 부양책인데 그들의 경기 압박이 상당했던 터라 내부적으로 경기부양 기조로의 선회가 나타나고 있고 현재 거론되고 있는 8종 8횡을 위시한 인프라 투자를 주목해야 한다""고 덧붙였다.

고형광 기자 kohk0101@asiae.co.kr",[]
2018.10.26 11:43,618,onix****,58.123.***.95,0,1,분명한 팩트만 말해주마 실적대비 아직도 주가 고평가다. 명심하시길 ....,[]
2018.10.24 19:17,732,see0****,114.203.***.185,1,0,"안녕 하십니까!!
반갑습니다~
아래 글을 끝까지 읽어 주시기바랍니다

청원명:국민연금의 주식대차를 폐지하라

청원마감일:10월 31일까지

우리의 부모님 형제 자매들이 피땀흘려 내는 국민연금이 줄줄 새고있습니다.

현재 국민연금
조성기금 670조를 투자 운영하고 있는 자산운영본부(국민연금운영위)
에서 1년에 10조의 손실을 내고있다는 사실을 알고계십니까?

국민연금이
공매도 세력(외국인.기관)들에게 주식을 대차해 줌으로서 생겨난 손실이며 그것은 국민연금이 재정고갈로 이어지는 결과를 초래해 왔던것입니다
그리고
국부유출로 이어지고 있습니다.

국민연금을 내시는 분이시라면 ''국민연금 주식대차 금지
청원개요,,를 꼭 읽어 보시기 바랍니다.

아울러
SNS 정보망을 통해 20만명이 동참 할때까지 가족.친구.
선 후배. 주변의 모든 지인들께
동참을 독려 해주시기 바랍니다.

※ 참여 방법은 참 쉽습니다..^^
아래 링크로 들어가신 후 '동의'를 클릭하시면 됩니다.
(네이버/페이스북/트위터로 3번 동의 가능)

https://www1.president.go.kr/petitions/394401

♥또 한번 제대로 찍어봅시다♥",[]
2018.10.23 14:32,463,ccii****,121.174.***.168,0,1,"●청원●
국민연금의 주식대차를 폐지하라
https://www1.president.go.kr/petitions/394401

다시 시작하는 청원입니다.
이전에 비슷한 청원에 동의하셨더라도 다시 한번 더 이 청원에 동의 부탁드립니다.

&#8226; [기자수첩]공매도 권유하는 '정부'…분통터지는 '개미'
https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=110&oid=018&aid=0004225969

&#8226; [단독] 공매도 신음株, 절반은 국민연금이 대여
https://news.v.daum.net/v/20181016095007871

&#8226; 국민연금공단, 해외운용사서 돈받아 직원들 해외연수 논란
http://www.businesskorea.co.kr/news/articleView.html?idxno=25479

&#8226; '주식 대여 장사' 논란 휩싸인 국민연금
https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003410343

&#8226; 국민연금 주식대여액 1천조원 육박..""공매도 종잣돈 창구""
https://news.v.daum.net/v/20180907070022685?f=m

&#8226; 거래량도 대금도... 공매도 시장 휘젓는 외국계 증권사들
https://news.v.daum.net/v/20181009044529592?rcmd=rn&f=m

&#8226; 국민연금, 올해 7월 말까지 국내주식투자로 10조원 손실
https://news.v.daum.net/v/20181006090008650?f=m#none

국민연금이 공매도세력들에게 주식을 대여해주며 연금을 운용하여 우리들의 국민연금과 주식이 막대한 손실을 입고 있습니다.

국민연금의 주식대차를 없애야지만 우리들의 국민연금과
주식을 지킬 수 있습니다.

우리들의 재산을 지킵시다.

청원에 힘을 보태어 주십시요.

여러분들의 힘이 절실히 필요합니다.",[]
2018.10.23 14:01,1168,sgod****,117.111.***.36,3,1,"자동차 관련해서 부품회사들이 정부에 2조 요청했네.
진짜 어렵나보네.
백 없는 개미님들은 일단 퇴장하고, 추후 입성하시는것이 스트레스 안받는 길인듯",['어려운건 당연한거고 대주주가 지분을 팔고있다 안하냐?? ㅉㅉㅉ']
2018.10.20 22:17,1271,dnfl****,112.163.***.176,2,1,"오늘은 주담한테 전화해야지 다짐해 보건만
늘 그렇듯이 출근과 함께 전화할 여유가 없음.

시간이라도 나서 전화할라치면
금융, 서류발급 등 또 다른 일들에 ?겨 놓치고
휴일은 전화 안받제 통화 한번 못했네.

누구 주담하고 통화하신 분 계세요.
시원하이 한 말씀 부탁하오.",['주담도 회사의 주가에 회의적인 반응을 보이고 있는듯 .... ㅉㅉㅈ']
2018.10.17 18:35,868,6301****,113.52.***.253,2,1,그것도 무려 0.5퍼 상승,[]
2018.10.17 14:32,424,kenn****,211.36.***.177,2,1,음,[]
2018.10.16 13:33,869,ccii****,223.62.***.234,0,1,"• [단독] 공매도 신음株, 절반은 국민연금이 대여
https://news.v.daum.net/v/20181016095007871

• 국민연금공단, 해외운용사서 돈받아 직원들 해외연수 논란
http://www.businesskorea.co.kr/news/articleView.html?idxno=25479

• '주식 대여 장사' 논란 휩싸인 국민연금
https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003410343

• 국민연금 주식대여액 1천조원 육박..""공매도 종잣돈 창구""
https://news.v.daum.net/v/20180907070022685?f=m

• 거래량도 대금도... 공매도 시장 휘젓는 외국계 증권사들
https://news.v.daum.net/v/20181009044529592?rcmd=rn&f=m

• 국민연금, 올해 7월 말까지 국내주식투자로 10조원 손실
https://news.v.daum.net/v/20181006090008650?f=m#none

국민연금이 공매도세력들에게 주식을 대여해주며 연금을 운용하여 우리들의 국민연금과 주식이 막대한 손실을 입고 있습니다. 
국민연금의 주식대차를 없애야지만 우리들의 국민연금과
주식을 지킬 수 있습니다.
우리들의 재산을 지킵시다.
청원에 힘을 보태어 주십시요.
여러분들의 힘이 절실히 필요합니다. 

●청원●
국민연금의 주식대차를 폐지하라
https://www1.president.go.kr/petitions/394401

다시 시작하는 청원입니다.
이전에 비슷한 청원에 동의하셨더라도 다시 한번 더 이 청원에 동의 부탁드립니다.",[]
2018.10.15 16:19,744,6301****,223.175.***.230,1,2,주말이나 연휴때는 겨우 보합이고 ㅋㅋ,[]
2018.10.12 11:47,1335,taah****,58.151.***.138,3,2,여긴 아덜 새끼가 문제임,['논현동 있을때나 지금이나 혁신이 없는회사']
2018.10.10 22:17,1046,ccii****,223.62.***.226,3,0,"• 국민연금 주식대여액 1천조원 육박..""공매도 종잣돈 창구""
https://news.v.daum.net/v/20180907070022685?f=m

• 국민연금, 올해 7월 말까지 국내주식투자로 10조원 손실
https://news.v.daum.net/v/20181006090008650?f=m#none

• 국민연금공단, 해외운용사서 돈받아 직원들 해외연수 논란
http://www.businesskorea.co.kr/news/articleView.html?idxno=25479

• '주식 대여 장사' 논란 휩싸인 국민연금
https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003410343

• 거래량도 대금도... 공매도 시장 휘젓는 외국계 증권사들
https://news.v.daum.net/v/20181009044529592?rcmd=rn&f=m

국민연금이 공매도세력들에게 주식을 대여해주며 연금을 운용하여 우리들의 국민연금과 주식이 막대한 손실을 입고 있습니다. 
국민연금의 주식대차를 없애야지만 우리들의 국민연금과
주식을 지킬 수 있습니다.
우리들의 재산을 지킵시다.
청원에 힘을 보태어 주십시요.
여러분들의 힘이 절실히 필요합니다. 

●청원●
국민연금의 주식대차를 폐지하라
https://www1.president.go.kr/petitions/394401

다시 시작하는 청원입니다.
이전에 비슷한 청원에 동의하셨더라도 다시 한번 더 이 청원에 동의 부탁드립니다.",[]
2018.10.05 20:24,631,dldn****,211.106.***.149,1,0,"안녕하세요?
요즘 대한민국 핫 이슈인 국민연금 재정 고갈문제와
관련된 유용한 정보입니다.

국민연금의 주식대여 금지에 관한 것인데요.
국민연금을 내시는 분이시라면 꼭 읽어보셔야 할 내용이어서 알려드립니다.


""국민연금 가입자라면?
이건 꼭 하셔야 됩니다!""

<내 연금은 내가 지킨다!>
'국민연금 주식대여 금지'를 위한
청와대 청원에 꼭 참여해주세요!
(청원문을 읽어보시면 깜짝 놀라실 겁니다.)

""국민연금의 주식대여가 금지되면 주식 하락에 베팅하는 공매도 세력에게 타격이 감으로써 주가가 상승하게 됩니다.
그렇게 되면 일반 주식투자자(5백만 명의 국민.서민)의 소득이 늘어나게 되고, 자연스레 소비가 촉진됨으로써 자영업자의 주름살이 펴지게 됩니다.""

※ 참여 방법은 참 쉽습니다..^^
아래 링크로 들어가신 후 '동의'를 클릭하시면 됩니다.
(네이버/페이스북/트위터로 3번 동의 가능)

https://www1.president.go.kr/petitions/394401",[]
2018.10.04 06:46,839,ljs5****,59.4.***.73,2,1,미국의 지동차관세 를생각 하면 아직도 기다림이 필요 하다 북한관계가 제일 큰변수인데 이종목은 전번이나 이번에도 요지 부동 이니 상승은 제한적이아닐까 ?없는 기다림이 아마 정답일듯 하네요,"['반드시 이것만은 팩트니 잘알아둬라 한국단자는 남북경협, 개성공단 수혜주 절대아니다 주식담당자도 인정하는 확실한 정보다 .....왜냐면 배트남으로 공장 옮겼기 때문에 물건너 갔다 ...']"
2018.10.01 21:45,1091,rsjf****,58.141.***.192,2,0,머 이따구냐...,[]
2018.10.01 14:54,611,qkr1****,222.233.***.181,1,0,"너무 지롤들헌다
개미도 좀살자",[]
2018.09.27 16:04,444,kudo****,58.123.***.95,1,2,회사가 더 이상 성장 회생가능성이 전혀 없읍니다.,[]
2018.09.18 20:06,1114,canc****,118.218.***.121,2,0,내려가면 1주 사겠습니다.,[]
2018.09.14 07:44,1003,cujo****,121.131.***.159,0,2,"https://www1.president.go.kr/petitions/379257?navigation=petitions

동의해주세요!!!!

한국거래소 자사주 관련 규정, 개정요청

한국거래소는 대주주에게는 요술램프 vs. 소액주주에게는 쪽박

우리나라 제도(상법이나 거래소 규정)가 대주주가 소액주주에게 손해를 입히고 이익을 취할 수 있도록 보장해 주고 있다는 사실이다

널리 복사하여 전달 부탁드립니다!!!!!

청와대 국민소통 광장 > 국민청원
한국거래소 자사주 관련 규정, 개정요청",[]
2018.09.13 20:42,733,khk3****,222.120.***.49,3,3,"내릴때마다 씨벌이는 놈!

오르면 입 다무네...

크게 가는 냄새난다!!!",[]
2018.09.10 18:13,831,cion****,223.62.***.239,2,0,"여러분들의 국민연금이 새고 있습니다.
아래 2개의 청원에 힘을 보태주세요.^^

1. 국민연금 주식대여 금지 청원
https://www1.president.go.kr/petitions/353707

2. 삼성, 엘리엇 소송 관련 청원
https://www1.president.go.kr/petitions/350397

3. 정부는 매국연금을 국민연금으로 되돌려라!https://www1.president.go.kr/petitions/370356

※ 참조기사
국민연금 주식대여액 1천조원 육박..""공매도 종잣돈 창구""
https://news.v.daum.net/v/20180907070022685?f=m

여러분들께서 자주 이용하시는 커뮤니티나 포털사이트 증권 토론방 게시글에 위 글을 복사해서 댓글로 달아주시면 큰 도움이 됩니다.
여러분들의 힘이 필요합니다.^^",[]
2018.09.04 15:34,952,onix****,58.123.***.95,1,2,ㅉㅉㅉ,[]
2018.09.03 15:29,697,onix****,58.123.***.95,0,2,아이좋아 ㅋㅋㅋㅉㅈㅈ,[]
2018.08.29 15:46,745,hunt****,211.36.***.130,2,1,미리 미소지을게~,"['너는 맞추는게 머냐', '작전도 아니고 아줌마도 아닌데~\n성공은 할게용~~']"
2018.08.29 14:16,867,hunt****,211.36.***.130,2,3,"오닉스는 여자임
아주 못생긴~~~",[]
2018.08.29 11:58,311,hunt****,211.36.***.130,1,2,"넌 베트남 난 한국
지는사람이 게시판 떠나기로~^^
콜?","['머리뽑으며 싸워봐라 ㅋㅋ 솜털은 안 뽑힐 듯', '넌 박항서 난 김학범\n대머리 싸움']"
2018.08.29 11:56,534,hunt****,211.36.***.130,0,3,우즈벡져서 게시판 떠낫어,[]
2018.08.27 10:46,724,hunt****,211.36.***.213,2,1,짜작짝짝짝~~,[]
2018.08.26 13:26,694,ljs5****,59.4.***.73,2,1,1국 회의원 100명 무보수 명예직으로한다2지자제 폐지하여 선거비절감 선심성예산 절감 이 두가지만실천해도 국가 예산반으로줄일 수 있다,[]
2018.08.22 19:13,674,6301****,223.175.***.203,3,2,개.주식,['6301**** 야 내말 안듣고 한국단자에 발 담구는 순간 손실로 확정된다고 수없이 경고하고 일러줬다 ㅉㅉㅉ\n남에 말 좀 들을 줄 알아라 ㅉㅉㅉ']
2018.08.17 09:13,1247,j009****,1.254.***.252,2,3,"누가 이리 빼노.
국민연금인가?

말이 안되는 수급.
영업이익, 순이익을 볼 때
2%대의 주가하락은
너무 심하다.

분명 주가조작이 있다본다.","['여기 세습 작업입니다... 아직 완료 안된걸로 알고있어요 그래서 계속 주가 누르고 세습인도 작업 합니다.', '니주식인생 줘도안해 딴거 걸어', '내 주식인생을 걸고 말하마 하늘이 두쪽나도 올라올수없이 패턴을 하고있다 기술적분석을 당나라에서 했다해도 이런모야에서 오직 하락 뿐이다 잘 지켜봐라 ㅉㅉㅉ 그냥하는말아니다 ㅉㅈ']"
2018.08.15 06:46,952,ljh8****,218.52.***.179,3,2,상폐 안됐냐~,['하도 지아사서 약자로 올맀다.\n니 알아서 해석해라.']
2018.08.14 15:19,482,hunt****,117.111.***.19,1,1,찍찍아 이리와 손~,[]
2018.08.10 17:37,898,elec****,121.134.***.37,1,2,키케가 축구 국대 감독 으로 올수도 있다고 함,['어쩌라고']
2018.08.09 10:51,373,hunt****,211.36.***.159,2,2,팍팍 긁어줘,[]
2018.08.08 12:44,388,hunt****,211.36.***.159,2,2,안올리나 양심도읍나,"['찍찍이 왓냐 자리하그라', '누구 좋으라고 올리나? 뒤져도 못 올라간다 그리 알르레이 ㅋㄷㅋㄷ']"
2018.08.08 11:38,373,j009****,1.254.***.252,2,2,지기미 씨펄게 달아바라.,['ㅋㅋ짜증나서 확 돌아버리게 해줄께 ㅋㅋㄷㅋㄷ']
2018.08.07 14:24,429,hunt****,211.36.***.159,3,1,"6층에 사람잇어요~~~
안들려요~~~?
사람 살려~~~~",['ㅋㅋ']
2018.08.07 14:19,253,hunt****,211.36.***.159,1,2,"계속 찍찍대라 쥐약 먹은거마냥 왜이리 조용해
정신병원 강제입원이라도햇냐",['이런 박쥐새끼 또 나타났네 ㅋㅋ 박쥐야 먼 찌린내가 이리나냐?? ㅋㅋㅋㄷㅋㄷ']
2018.08.06 13:05,366,hunt****,211.36.***.159,2,2,"어째 쥐 한마리가 안보이냐
찍찍찍 소리가 들리는거같은데","['그리고 쥐가 너란거 인정?', '누가봐도 니가 흡혈찍찍이같은데? 너 정신병원 가봐 상태가 영ㅋㅋ', 'hunt**** 이런 박쥐새끼가 찍찍거리기는 그런다고 주가가 올라갈수있을거라 보이냐?? ㅋㅋ 꿈깨라 흡혈귀같은 넘']"
2018.07.31 15:46,478,hunt****,211.36.***.147,2,2,오닉스 가 제일 하찬아 미천해,['hunt**** 야 널 보고 머라하는줄 아니?? 바로 꼴깝한다라 표현한다 알간?? ㅋㄷㅋㄷㅉㅉㅉ 천한것 ㅋㅋ']
2018.07.31 14:59,247,onix****,58.123.***.95,1,2,꼬로록 ~~ 수면 아래로 고고 꼬로록 ~~,[]
2018.07.31 12:11,228,onix****,58.123.***.95,0,3,ㅉㅉㅉ,[]
2018.07.27 06:58,797,j009****,112.163.***.176,3,3,"지금 이 시점에서 1분기 매출액과
영업이익 줄었다는 기사를 다시
내보내는 의도는 뭘까.

썩어빠진 한국경제 언론사.
무슨 꿍꿍이인지.

더럽고 치사한 보도는 삼가라.
눈에 읽힌다.","['여긴 개판이네.\n마이 지쓰라.', '그간 불확실성 해소.. 60일선 넘으면 쳐올라간다.', '개미만 촉수엄금해라', '개미촉수엄금이라고 그러구만요~\n신규매수 절대 금지!!']"
2018.07.26 12:52,605,xown****,110.12.***.218,2,1,작년 9월 손절 ㄷㄷ,[]
2018.07.26 12:50,296,hunt****,220.122.***.67,1,3,장난이 좀 심하네 ~^^,[]
2018.07.25 14:18,442,hunt****,106.102.***.159,1,4,가즈아~~~~~~~~,[]
2018.07.24 21:17,517,lecc****,1.224.***.62,4,4,"조만간 크게 갈 것 같네요.

관심 종목으로 편입.","['lecc****님 가소로운 에상 집어치우고 전체적인 시장과 한국단자의 업종이 죽을쓰고 있는데 정신차리셔야지 ^^ㅉㅉㅉ', '여기 쉽게 안줘유']"
2018.07.23 09:07,521,kudo****,58.123.***.95,1,3,"한국단자로 7%가량 먹고 나온사람있으면 손들어봐라 이게바로 실력이다 ^^ㅉㅉ
올라도 못팔아 내려도 못 팔아 ㅉㅉ 너희를 어쩌냐 ㅋㅋㅋㄷㅋㄷ",[]
2018.07.21 17:45,847,xown****,110.12.***.218,3,2,"현금흐름표만봐도 진짜 우량하고

매년 현금들어오고 부채 안내는

기업인데

매년 이리 꼬박꼬박 현금이 들어오는 기업이

있을까?

다만 너무 기존에 현금흐름이 우량해서

점점 들어오는 돈이 작아져

주가에 영향을 받지만

16년도 현금만 1400억 들어온 기업ㄷㄷ

영업이익 900억을 훨신 상회하는

미르띤기업인건 맞음

업황 나아지면 매수합니다",['당신이 보고있는 부분은 손바닥에 불과하다 ^^ 언제나 진실은 손등에 있는법 ㅉㅉㅉ\n잘 듣도 의미를 대세겨보시길....\n보이는것은 보이지 않는것에대한 그림자에 불과하다. ^^']
